iter	Passed	Remaining
417	2618	3646
418	2624	3639
419	2630	3632
420	2636	3625
421	2642	3618
422	2648	3612
423	2654	3606
424	2661	3601
425	2667	3594
426	2672	3586
427	2677	3578
428	2683	3571
429	2688	3563
430	2693	3555
431	2698	3547
432	2703	3539
433	2708	3531
434	2713	3524
435	2718	3516
436	2722	3508
437	2727	3500
438	2733	3492
439	2738	3484
440	2742	3476
441	2748	3470
442	2753	3462
443	2759	3455
444	2764	3448
445	2770	3441
446	2775	3433
447	2780	3426
448	2785	3418
449	2790	3410
450	2795	3402
451	2800	3395
452	2805	3387
453	2811	3380
454	2816	3373
455	2821	3366
456	2827	3359
457	2833	3352
458	2839	3346
459	2845	3339
460	2851	3333
461	2858	3328
462	2863	3321
463	2868	3314
464	2875	3308
465	2880	3300
466	2886	3294
467	2892	3287
468	2896	3279
469	2901	3272
470	2907	3265
471	2912	3258
472	2917	3250
473	2923	3243
474	2928	3236
475	2933	3229
476	2939	3223
477	2945	3216
478	2950	3209
479	2956	3202
480	2961	3195
481	2966	3187
482	2972	3181
483	2977	3173
484	2982	3166
485	2987	3159
486	2992	3152
487	2997	3145
488	3003	3138
489	3008	3130
490	3013	3123
491	3018	3116
492	3024	3110
493	3030	3104
494	3036	3097
495	3042	3092
496	3049	3086
497	3056	3080
498	3061	3074
499	3067	3067
500	3072	3060
501	3078	3053
502	3083	3046
503	3088	3039
504	3093	3032
505	3099	3025
506	3104	3018
507	3109	3012
508	3115	3005
509	3120	2998
510	3125	2991
511	3131	2984
512	3136	2978
513	3141	2970
514	3147	2963
515	3152	2956
516	3157	2949
517	3162	2942
518	3168	2936
519	3172	2928
520	3178	2921
521	3183	2915
522	3189	2908
523	3194	2902
524	3199	2894
525	3205	2888
526	3210	2881
527	3215	2874
528	3220	2867
529	3226	2861
530	3232	2855
531	3239	2849
532	3245	2843
533	3251	2837
534	3257	2831
535	3264	2825
536	3269	2819
537	3275	2812
538	3280	2806
539	3285	2799
540	3291	2792
541	3296	2785
542	3301	2778
543	3307	2772
544	3312	2765
545	3318	2759
546	3323	2752
547	3328	2745
548	3333	2738
549	3338	2731
550	3344	2725
551	3349	2718
552	3354	2711
553	3361	2706
554	3366	2699
555	3372	2693
556	3377	2686
557	3383	2679
558	3388	2673
559	3393	2666
560	3399	2659
561	3404	2653
562	3409	2646
563	3415	2640
564	3421	2634
