iter	Logloss
0	0.6601292275
1	0.6278413913
2	0.5925354391
3	0.5652316069
4	0.5327190597
5	0.5120166111
6	0.4883066833
7	0.4699702029
8	0.446321419
9	0.4311139507
10	0.416842265
11	0.4031664285
12	0.3906291873
13	0.3784272029
14	0.3663989818
15	0.3568844819
16	0.3459210753
17	0.3368891102
18	0.3286750121
19	0.3167213367
20	0.3082380859
21	0.3012577254
22	0.2961086969
23	0.2867345046
24	0.2815393132
25	0.2734101021
26	0.2693426828
27	0.2649293626
28	0.2609180448
29	0.256259554
30	0.2514678113
31	0.2493354433
32	0.2445563917
33	0.2406967032
34	0.2374436981
35	0.2324247379
36	0.2302422656
37	0.2251973334
38	0.2216663512
39	0.2180878242
40	0.215714659
41	0.2121939696
42	0.2102321034
43	0.2077698784
44	0.205982544
45	0.2021679165
46	0.2000752826
47	0.1983584786
48	0.1964112073
49	0.1944615698
50	0.193017037
51	0.191403944
52	0.1879554085
53	0.1864491072
54	0.1833998971
55	0.1810832423
56	0.1797602461
57	0.1784234557
58	0.1761310743
59	0.1747596247
60	0.1726428827
61	0.1715300782
62	0.1700526317
63	0.168307343
64	0.1668554951
65	0.1658875894
66	0.164871708
67	0.163289445
68	0.1620107377
69	0.1600776402
70	0.1583604686
71	0.1564646793
72	0.1553651652
73	0.1538703199
74	0.1528938624
75	0.152328704
76	0.1515442678
77	0.1507523358
78	0.1492910709
79	0.1485562132
80	0.1475319179
81	0.1460737979
82	0.145278837
83	0.1441728012
84	0.1429824523
85	0.142218446
86	0.1414609089
87	0.1407663157
88	0.1401424545
89	0.1387183768
90	0.1379709111
91	0.137284924
92	0.1368123811
93	0.136015098
94	0.1350902287
95	0.1340575278
96	0.1333762734
97	0.1327387667
98	0.1316775221
99	0.1311011209
100	0.1302364734
101	0.1295218676
102	0.1284755354
103	0.127644981
104	0.1273005772
105	0.1266615085
106	0.1258484995
107	0.1253027165
108	0.1246846887
109	0.1243639903
110	0.123803705
111	0.1230375417
112	0.1226661642
113	0.1221170903
114	0.1217469342
115	0.1210130579
116	0.1204935756
117	0.1198123276
118	0.1191052993
119	0.1187475636
120	0.1182804848
121	0.117612461
122	0.1168881772
123	0.1162565508
124	0.1156207223
125	0.1153942723
126	0.1149602621
127	0.1146489903
128	0.1142459493
129	0.1137190279
130	0.1132129063
131	0.1125719702
132	0.1120458266
133	0.1117188392
134	0.111121566
135	0.1107537145
136	0.1102783432
137	0.1098421815
138	0.1092558502
139	0.1088655794
140	0.1083845952
141	0.1077441416
142	0.1071566602
143	0.1069115016
144	0.1064473124
145	0.1062633366
146	0.1057220069
147	0.1052980156
148	0.1050617088
149	0.1048208024
150	0.1044848226
151	0.1040584271
152	0.1038985649
153	0.1035048087
154	0.1029076637
155	0.1026605554
156	0.1021920668
157	0.101746069
158	0.1012447523
159	0.1008222603
160	0.1003475106
161	0.1001441305
162	0.09970884562
163	0.09941986167
164	0.09907406594
165	0.09853246276
166	0.09810069693
167	0.09788153069
168	0.09743501933
169	0.09718319301
170	0.09686366425
171	0.09666867837
172	0.0962088973
173	0.09596760091
174	0.09553287235
175	0.09530403116
176	0.09489088717
177	0.09461210317
178	0.0944036374
179	0.09390378445
180	0.09364925949
181	0.09343319084
182	0.09312714577
183	0.09264616342
184	0.09234142091
185	0.09216340871
186	0.09179883083
187	0.09158117208
188	0.09115600459
189	0.09062896428
190	0.09051920503
191	0.09031512123
192	0.09004741616
193	0.08980767185
194	0.0894528577
195	0.08897798368
196	0.08865064282
197	0.0882496782
198	0.08794316798
199	0.08767553741
200	0.08743113406
201	0.08710450618
202	0.08690001769
203	0.08658975901
204	0.08640972647
205	0.08609863726
206	0.08582117258
207	0.08550689536
208	0.08512485693
209	0.08478489174
210	0.08450977571
211	0.08422764262
212	0.08396161589
213	0.08381368795
214	0.08363272787
215	0.08345080437
216	0.08319177512
217	0.08304124113
218	0.08275490492
219	0.08255703304
220	0.08248381502
221	0.08231206367
222	0.08208156576
223	0.08179660449
224	0.08138178897
225	0.08120729622
226	0.08101717255
227	0.08087563275
228	0.08059615548
229	0.08048268733
230	0.08021911293
231	0.08010145005
232	0.07974883686
233	0.07947412207
234	0.07920864161
235	0.07895535431
236	0.07877296939
237	0.07856680146
238	0.07845344079
239	0.07826111721
240	0.07794231089
241	0.07773953168
242	0.07743562817
243	0.0771978322
244	0.07709446018
245	0.07678922782
246	0.07658021948
247	0.0764248628
248	0.07619798408
249	0.07596358836
250	0.07572046284
251	0.07546600034
252	0.07532371361
253	0.07509789624
254	0.07487322727
255	0.07466060065
256	0.07450114527
257	0.07426582898
258	0.07407081196
259	0.07393374661
260	0.07383042906
261	0.07372891121
262	0.07361791618
263	0.07354554194
264	0.07327049409
265	0.07302433118
266	0.07291644041
267	0.0727967426
268	0.07259582617
269	0.07234933673
270	0.07211770014
271	0.07205353834
272	0.07183368346
273	0.07161909792
274	0.07147608237
275	0.07136726476
276	0.07126137884
277	0.07102941388
278	0.07090795456
279	0.07071349414
280	0.0705183518
281	0.07044190132
282	0.0702745897
283	0.07015082338
284	0.07003971529
285	0.06984193205
286	0.06957725306
287	0.06946806629
288	0.06929926654
289	0.06917556053
290	0.06894411595
291	0.06880191329
292	0.06857817543
293	0.0684722622
294	0.0683834625
295	0.06827576734
296	0.06810861582
297	0.06792007062
298	0.06773959268
299	0.06762534292
300	0.06743516938
301	0.06731176453
302	0.06713608689
303	0.06699152504
304	0.0667983462
305	0.06658465732
306	0.06641487902
307	0.06635150154
308	0.06623111899
309	0.06614723242
310	0.06606854252
311	0.06589421454
312	0.06581089196
313	0.06564229102
314	0.06553981727
315	0.06540212927
316	0.06521816583
317	0.0650789635
318	0.06501520026
319	0.06496681515
320	0.06487116821
321	0.06471441763
322	0.06466200095
323	0.06457275821
324	0.06441610762
325	0.06434524773
326	0.0641929152
327	0.06413429851
328	0.06403441674
329	0.06387752765
330	0.06374396661
331	0.06363616621
332	0.06349425611
333	0.06327795559
334	0.06319571072
335	0.06301473248
336	0.06289451871
337	0.06277694634
338	0.06265940486
339	0.06246851642
340	0.06226967024
341	0.06215637441
342	0.06199213672
343	0.06191392348
344	0.06172300753
345	0.06157578053
346	0.06144871113
347	0.06132085255
348	0.06114069207
349	0.06102981011
350	0.06089097144
351	0.06070685622
352	0.06055706094
353	0.06045994422
354	0.06038733532
355	0.0602874271
356	0.06013758732
357	0.06007292828
358	0.05994899323
359	0.05985921855
360	0.05978262511
361	0.05972305918
362	0.05963114843
363	0.05947119476
364	0.05938285542
365	0.05927708172
366	0.05915370069
367	0.0589668382
368	0.05883278095
369	0.05872667577
370	0.05865359331
371	0.05858535547
372	0.05849674945
373	0.05841092274
374	0.05833171494
375	0.05826235367
376	0.05807021449
377	0.05797143911
378	0.05782725106
379	0.05769530704
380	0.05757299581
381	0.05745256038
382	0.05732770155
383	0.05723578996
384	0.05718363842
385	0.05711053336
386	0.05700113502
387	0.05692084965
388	0.05680195872
389	0.05670813357
390	0.05658264734
391	0.05652258042
392	0.05636777734
393	0.056275799
394	0.05619095554
395	0.05609886787
396	0.05599759601
397	0.05592544775
398	0.05583326593
399	0.05576111022
400	0.05568774971
401	0.05554074009
402	0.05544680272
403	0.05531891047
404	0.05520198594
405	0.05511678837
406	0.05497516209
407	0.05489789057
408	0.05475096455
409	0.05466709307
410	0.05453670192
411	0.05443559123
412	0.05433691105
413	0.05421981987
414	0.05410780775
415	0.05403119931
416	0.05393950715
417	0.05388585557
418	0.05379310692
419	0.05371866429
420	0.0536300191
421	0.0534655647
422	0.05337769619
423	0.05327950938
424	0.05319844149
425	0.05310063087
426	0.05298461713
427	0.05293466485
428	0.05284979498
429	0.05279310046
430	0.05267289478
431	0.05253089551
432	0.05240988762
433	0.05236439573
434	0.0522948016
435	0.05220792292
436	0.05208066805
437	0.05192449747
438	0.05185494685
439	0.05178729277
440	0.05167151643
441	0.05161009321
442	0.05150715071
443	0.05147803522
444	0.05137248309
445	0.05130373652
446	0.05122924045
447	0.05113225167
448	0.05103207227
449	0.05094476887
450	0.05087475289
451	0.05080741902
452	0.05067753559
453	0.05058582463
454	0.05054010293
455	0.05046122287
456	0.05040189314
457	0.05036619579
458	0.05025815731
459	0.050171528
460	0.05009488468
461	0.04997275708
462	0.04988155465
463	0.04976857358
464	0.04969647811
465	0.04962872609
466	0.04953147068
467	0.04942347372
468	0.04931566565
