iter	Passed	Remaining
432	1710	2240
433	1715	2236
434	1719	2233
435	1723	2229
436	1727	2225
437	1730	2220
438	1732	2213
439	1735	2209
440	1739	2204
441	1743	2200
442	1744	2193
443	1745	2186
444	1749	2182
445	1753	2177
446	1756	2173
447	1760	2169
448	1763	2164
449	1767	2160
450	1771	2155
451	1775	2152
452	1778	2148
453	1780	2141
454	1783	2136
455	1787	2132
456	1791	2128
457	1793	2122
458	1796	2117
459	1800	2113
460	1803	2109
461	1807	2105
462	1811	2100
463	1814	2096
464	1818	2092
465	1823	2089
466	1827	2085
467	1831	2081
468	1835	2078
469	1839	2074
470	1843	2070
471	1848	2067
472	1852	2063
473	1856	2059
474	1859	2055
475	1863	2051
476	1867	2047
477	1871	2043
478	1874	2039
479	1878	2035
480	1882	2030
481	1885	2026
482	1887	2019
483	1890	2015
484	1894	2011
485	1898	2007
486	1901	2003
487	1905	1998
488	1908	1994
489	1912	1990
490	1915	1985
491	1919	1981
492	1923	1977
493	1924	1971
494	1928	1967
495	1928	1960
496	1932	1955
497	1936	1951
498	1939	1947
499	1943	1943
500	1946	1939
501	1950	1934
502	1954	1931
503	1958	1927
504	1962	1924
505	1966	1919
506	1970	1915
507	1971	1909
508	1975	1905
509	1978	1900
510	1982	1896
511	1985	1892
512	1989	1888
513	1992	1884
514	1996	1879
515	1999	1875
516	2003	1871
517	2006	1867
518	2010	1863
519	2014	1859
520	2019	1856
521	2023	1852
522	2027	1848
523	2031	1845
524	2032	1839
525	2037	1835
526	2041	1832
527	2045	1828
528	2050	1825
529	2054	1822
530	2058	1817
531	2061	1813
532	2065	1809
533	2068	1805
534	2072	1801
535	2073	1794
536	2076	1790
537	2080	1786
538	2084	1782
539	2087	1778
540	2091	1774
541	2092	1768
542	2094	1763
543	2098	1758
544	2101	1754
545	2105	1750
546	2109	1746
547	2112	1742
548	2116	1738
549	2120	1734
550	2123	1730
551	2127	1726
552	2130	1722
553	2134	1718
554	2137	1714
555	2141	1710
556	2145	1706
557	2148	1702
558	2152	1697
559	2155	1693
560	2157	1688
561	2160	1684
562	2164	1680
563	2169	1677
564	2174	1674
565	2178	1670
566	2181	1666
567	2185	1661
568	2188	1657
569	2192	1653
570	2196	1650
571	2200	1646
572	2205	1643
573	2206	1637
574	2211	1634
575	2216	1631
576	2221	1628
577	2226	1625
578	2231	1622
579	2235	1618
580	2239	1615
581	2244	1612
582	2250	1609
583	2254	1605
584	2259	1602
585	2264	1599
586	2268	1595
587	2272	1592
588	2274	1587
589	2279	1584
590	2283	1580
591	2287	1576
592	2291	1572
593	2295	1569
594	2299	1565
595	2303	1561
596	2306	1556
597	2310	1553
598	2316	1550
599	2317	1545
600	2322	1541
601	2323	1536
602	2328	1532
603	2331	1528
604	2333	1523
605	2338	1520
606	2343	1517
607	2347	1513
608	2351	1509
609	2355	1505
610	2357	1500
611	2362	1497
612	2366	1494
613	2370	1489
614	2375	1486
615	2379	1483
616	2382	1479
617	2387	1475
618	2392	1472
619	2397	1469
620	2404	1467
621	2408	1463
622	2412	1459
623	2414	1454
624	2421	1452
625	2426	1449
626	2430	1446
627	2434	1442
628	2437	1437
629	2439	1432
630	2444	1429
631	2450	1426
632	2453	1422
633	2459	1419
634	2465	1416
635	2471	1414
636	2475	1410
637	2481	1407
638	2483	1403
639	2485	1397
640	2487	1393
641	2489	1388
642	2494	1385
643	2496	1379
644	2498	1375
645	2503	1371
646	2507	1367
647	2511	1364
648	2517	1361
649	2521	1357
650	2528	1355
651	2533	1352
652	2537	1348
653	2543	1345
654	2549	1342
655	2554	1339
656	2560	1336
657	2565	1333
658	2570	1329
659	2576	1327
